order_number,order_date,item_name,quantity,product_price,total_products
14316,13/04/2019 20:24,Plain Naan,1,2.6,2
14314,13/04/2019 19:57,Plain Naan,1,2.6,9
14313,13/04/2019 19:42,Plain Naan,1,2.6,4
14294,13/04/2019 10:31,Plain Naan,1,2.6,4
14285,12/04/2019 19:29,Plain Naan,2,2.6,3
14258,11/04/2019 17:40,Plain Naan,2,2.6,7
14247,09/04/2019 19:20,Plain Naan,1,2.6,5
14238,08/04/2019 18:20,Plain Naan,1,2.6,8
14226,07/04/2019 19:21,Plain Naan,2,2.6,7
14217,06/04/2019 22:05,Plain Naan,1,2.6,6
14200,06/04/2019 18:57,Tandoori Roti,2,2.6,8
14197,06/04/2019 18:32,Plain Naan,1,2.6,8
14176,05/04/2019 20:18,Plain Naan,1,2.6,5
14163,05/04/2019 18:35,Plain Naan,1,2.6,4
14161,05/04/2019 18:30,Plain Naan,1,2.6,8
14155,05/04/2019 17:40,Plain Naan,1,2.6,11
14151,04/04/2019 19:33,Plain Naan,1,2.6,7
14125,31/03/2019 21:05,Tandoori Roti,1,2.6,4
14114,31/03/2019 18:12,Plain Naan,3,2.6,11
14113,31/03/2019 18:04,Tandoori Roti,2,2.6,5
14112,31/03/2019 18:04,Plain Naan,2,2.6,3
14111,31/03/2019 17:57,Plain Naan,1,2.6,9
14094,30/03/2019 18:58,Plain Naan,1,2.6,3
14089,30/03/2019 18:31,Plain Naan,1,2.6,10
14079,30/03/2019 17:55,Plain Naan,1,2.6,5
14048,29/03/2019 18:21,Plain Naan,1,2.6,9
14043,29/03/2019 17:42,Plain Naan,1,2.6,15
14024,28/03/2019 18:40,Plain Naan,1,2.6,9
14020,28/03/2019 18:06,Plain Naan,2,2.6,4
14018,28/03/2019 17:47,Plain Naan,1,2.6,5
14017,28/03/2019 17:21,Plain Naan,2,2.6,5
14008,27/03/2019 19:47,Plain Naan,1,2.6,3
13998,26/03/2019 17:35,Plain Naan,2,2.6,2
13988,24/03/2019 18:57,Plain Naan,2,2.6,5
13970,23/03/2019 19:58,Plain Naan,1,2.6,7
13966,23/03/2019 19:37,Plain Naan,1,2.6,4
13955,23/03/2019 18:28,Plain Naan,1,2.6,8
13912,20/03/2019 20:07,Plain Naan,1,2.6,4
13907,20/03/2019 18:34,Plain Naan,1,2.6,7
13891,19/03/2019 18:29,Plain Naan,1,2.6,16
13878,17/03/2019 18:22,Plain Naan,1,2.6,7
13875,17/03/2019 17:42,Plain Naan,1,2.6,6
13873,17/03/2019 17:08,Plain Naan,1,2.6,5
13870,17/03/2019 12:33,Plain Naan,1,2.6,6
13867,16/03/2019 21:51,Tandoori Roti,1,2.6,6
13864,16/03/2019 20:22,Plain Naan,1,2.6,4
13854,16/03/2019 19:00,Plain Naan,1,2.6,4
13847,16/03/2019 17:51,Plain Naan,1,2.6,4
13831,15/03/2019 19:25,Plain Naan,1,2.6,5
13826,15/03/2019 18:53,Plain Naan,1,2.6,7
13821,15/03/2019 18:40,Plain Naan,1,2.6,5
13797,12/03/2019 21:39,Plain Naan,1,2.6,4
13789,12/03/2019 19:14,Plain Naan,2,2.6,6
13785,11/03/2019 20:24,Plain Naan,1,2.6,5
13764,10/03/2019 17:18,Plain Naan,1,2.6,8
13758,09/03/2019 19:37,Plain Naan,1,2.6,11
13741,09/03/2019 17:35,Plain Naan,1,2.6,13
13740,09/03/2019 16:19,Plain Naan,1,2.6,13
13740,09/03/2019 16:19,Tandoori Roti,1,2.6,13
13677,03/03/2019 18:22,Plain Naan,2,2.6,4
13676,03/03/2019 18:19,Plain Naan,2,2.6,6
13670,03/03/2019 13:47,Plain Naan,2,2.6,3
13669,03/03/2019 13:17,Plain Naan,2,2.6,6
13668,02/03/2019 22:46,Plain Naan,1,2.6,3
13666,02/03/2019 20:25,Plain Naan,3,2.6,4
13664,02/03/2019 20:02,Plain Naan,1,2.6,15
13659,02/03/2019 19:37,Plain Naan,2,2.6,5
13640,02/03/2019 17:06,Plain Naan,2,2.6,6
13628,01/03/2019 20:22,Plain Naan,1,2.6,4
13625,01/03/2019 19:47,Plain Naan,1,2.6,7
13608,01/03/2019 17:11,Plain Naan,1,2.6,6
13602,28/02/2019 19:27,Plain Naan,1,2.6,7
13600,28/02/2019 18:25,Plain Naan,2,2.6,6
13594,27/02/2019 20:04,Plain Naan,1,2.6,8
13589,27/02/2019 18:52,Plain Naan,1,2.6,8
13564,24/02/2019 17:04,Plain Naan,2,2.6,4
13557,23/02/2019 20:45,Tandoori Roti,1,2.6,4
13553,23/02/2019 19:23,Plain Naan,1,2.6,6
13548,23/02/2019 18:57,Plain Naan,1,2.6,10
13545,23/02/2019 18:34,Plain Naan,1,2.6,7
13528,22/02/2019 19:07,Plain Naan,3,2.6,4
13518,22/02/2019 18:22,Plain Naan,1,2.6,5
13514,22/02/2019 18:01,Plain Naan,1,2.6,7
13503,21/02/2019 18:14,Plain Naan,2,2.6,7
13496,20/02/2019 19:11,Plain Naan,3,2.6,5
13493,20/02/2019 18:04,Plain Naan,1,2.6,3
13482,18/02/2019 18:31,Plain Naan,1,2.6,6
13444,16/02/2019 17:13,Plain Naan,1,2.6,6
13438,15/02/2019 20:09,Plain Naan,2,2.6,19
13402,14/02/2019 19:01,Plain Naan,1,2.6,6
13400,14/02/2019 18:55,Plain Naan,1,2.6,6
13386,14/02/2019 17:01,Plain Naan,1,2.6,6
13373,12/02/2019 18:14,Plain Naan,1,2.6,7
13370,12/02/2019 16:53,Plain Naan,1,2.6,4
13355,10/02/2019 17:31,Plain Naan,1,2.6,5
13354,10/02/2019 17:30,Plain Naan,2,2.6,7
13350,09/02/2019 21:10,Plain Naan,2,2.6,3
13344,09/02/2019 19:45,Plain Naan,2,2.6,5
13343,09/02/2019 19:36,Plain Naan,1,2.6,7
13341,09/02/2019 19:10,Plain Naan,1,2.6,5
13322,09/02/2019 15:59,Plain Naan,1,2.6,5
13315,08/02/2019 19:05,Plain Naan,1,2.6,6
13310,08/02/2019 18:07,Tandoori Roti,1,2.6,5
13309,08/02/2019 18:06,Plain Naan,2,2.6,3
13307,08/02/2019 17:59,Plain Naan,1,2.6,15
13303,08/02/2019 17:31,Tandoori Roti,1,2.6,7
13282,06/02/2019 19:56,Plain Naan,2,2.6,9
13273,05/02/2019 20:46,Plain Naan,2,2.6,6
13266,05/02/2019 19:02,Plain Naan,1,2.6,5
13260,04/02/2019 22:02,Plain Naan,2,2.6,3
13246,03/02/2019 18:46,Plain Naan,1,2.6,7
13236,02/02/2019 20:16,Plain Naan,1,2.6,6
13195,01/02/2019 19:14,Plain Naan,3,2.6,3
13193,01/02/2019 18:59,Plain Naan,2,2.6,6
13182,01/02/2019 17:36,Plain Naan,4,2.6,5
13173,31/01/2019 19:27,Plain Naan,1,2.6,6
13170,31/01/2019 19:13,Plain Naan,2,2.6,5
13152,30/01/2019 18:17,Plain Naan,1,2.6,6
13150,30/01/2019 17:14,Plain Naan,1,2.6,5
13137,28/01/2019 17:53,Plain Naan,1,2.6,5
13124,27/01/2019 18:39,Plain Naan,1,2.6,4
13122,27/01/2019 17:50,Plain Naan,1,2.6,7
13102,26/01/2019 18:47,Plain Naan,1,2.6,4
13101,26/01/2019 18:46,Plain Naan,2,2.6,5
13087,26/01/2019 15:56,Plain Naan,1,2.6,4
13082,25/01/2019 19:13,Plain Naan,1,2.6,5
13079,25/01/2019 18:43,Tandoori Roti,2,2.6,10
13063,24/01/2019 21:26,Plain Naan,1,2.6,3
13060,24/01/2019 19:35,Plain Naan,1,2.6,6
13056,24/01/2019 17:55,Plain Naan,1,2.6,8
13040,22/01/2019 19:32,Plain Naan,1,2.6,11
13019,19/01/2019 19:36,Plain Naan,1,2.6,8
13018,19/01/2019 19:26,Plain Naan,1,2.6,9
13002,19/01/2019 17:37,Plain Naan,1,2.6,5
12983,18/01/2019 18:37,Tandoori Roti,1,2.6,7
12969,17/01/2019 20:04,Plain Naan,1,2.6,5
12959,16/01/2019 21:17,Plain Naan,1,2.6,6
12938,13/01/2019 22:01,Plain Naan,5,2.6,10
12926,12/01/2019 22:29,Plain Naan,1,2.6,3
12913,12/01/2019 19:28,Plain Naan,1,2.6,6
12892,11/01/2019 18:34,Tandoori Roti,1,2.6,5
12879,10/01/2019 19:03,Plain Naan,1,2.6,7
12865,08/01/2019 18:33,Plain Naan,1,2.6,5
12863,08/01/2019 18:26,Plain Naan,1,2.6,4
12856,06/01/2019 19:41,Plain Naan,2,2.6,3
12848,05/01/2019 21:44,Plain Naan,4,2.6,5
12846,05/01/2019 20:39,Plain Naan,2,2.6,4
12841,05/01/2019 19:26,Plain Naan,1,2.6,5
12836,05/01/2019 18:49,Plain Naan,1,2.6,6
12835,05/01/2019 18:43,Plain Naan,1,2.6,8
12827,05/01/2019 18:02,Plain Naan,1,2.6,6
12820,05/01/2019 15:50,Plain Naan,1,2.6,8
12812,04/01/2019 19:57,Plain Naan,1,2.6,7
12809,04/01/2019 19:12,Plain Naan,1,2.6,5
12805,04/01/2019 18:31,Plain Naan,1,2.6,4
12787,02/01/2019 18:55,Plain Naan,1,2.6,4
12781,02/01/2019 16:16,Plain Naan,1,2.6,4
12766,01/01/2019 12:30,Plain Naan,1,2.6,4
12764,31/12/2018 21:13,Plain Naan,1,2.6,5
12763,31/12/2018 20:54,Plain Naan,1,2.6,10
12753,31/12/2018 19:06,Plain Naan,1,2.6,4
12747,31/12/2018 18:32,Plain Naan,2,2.6,11
12735,31/12/2018 16:40,Plain Naan,1,2.6,16
12733,31/12/2018 15:03,Plain Naan,1,2.6,6
12730,30/12/2018 22:17,Plain Naan,1,2.6,6
12723,30/12/2018 18:37,Plain Naan,11,2.6,4
12719,30/12/2018 17:57,Plain Naan,1,2.6,10
12717,30/12/2018 17:37,Plain Naan,1,2.6,6
12716,30/12/2018 17:34,Plain Naan,1,2.6,6
12713,29/12/2018 19:39,Plain Naan,1,2.6,2
12699,28/12/2018 20:04,Plain Naan,2,2.6,3
12687,28/12/2018 17:47,Plain Naan,2,2.6,13
12685,28/12/2018 16:47,Plain Naan,1,2.6,7
12671,26/12/2018 18:12,Tandoori Roti,1,2.6,6
12670,26/12/2018 18:10,Plain Naan,1,2.6,6
